"","Longitude","Latitude","mes","ndvi_mean","ndvi_sd","ndvi_max","ndvi_min","ndvi_cv","ndvi_obs"
"227",623135.76,7959082.5,"Nov",0.433244444444444,0.151459630537446,0.8332,0.1325,34.9593935893777,36
"228",623135.76,7959082.5,"Dec",0.568621428571429,0.200851500216884,0.9005,0.135,35.32253448863,42
"229",623202.6,7960080.84,"Jan",0.691140476190476,0.167868899281878,0.9183,0.2342,24.2886800968684,42
"230",623202.6,7960080.84,"Feb",0.707297674418605,0.169581124691417,0.9647,0.2488,23.9759200156867,43
"231",623202.6,7960080.84,"Mar",0.677143181818182,0.170435539745222,0.8841,0.1916,25.1697933792362,44
"232",623202.6,7960080.84,"Apr",0.62103488372093,0.205495266871366,0.8621,0.1657,33.0891665279961,43
"233",623202.6,7960080.84,"May",0.584809090909091,0.183940820637586,0.8495,0.2697,31.453139750555,44
"234",623202.6,7960080.84,"Jun",0.472679545454545,0.178716296649636,0.8153,0.2126,37.8091877188754,44
"235",623202.6,7960080.84,"Jul",0.359268181818182,0.137711987576241,0.6597,0.1826,38.3312507328952,44
"236",623202.6,7960080.84,"Aug",0.285221428571429,0.0941761855240518,0.5994,0.1386,33.0186220564655,42
"237",623202.6,7960080.84,"Sep",0.274247619047619,0.122355338651944,0.7409,0.1298,44.6149137326507,42
"238",623202.6,7960080.84,"Oct",0.357344444444444,0.14897000300353,0.7542,0.1444,41.6880702413411,27
"239",623202.6,7960080.84,"Nov",0.443608333333333,0.167558510676122,0.7123,0.1433,37.7717229559382,36
"240",623202.6,7960080.84,"Dec",0.617907142857143,0.178159366028937,0.8701,0.0938,28.8327086178589,42
"241",623211.44,7959313.58,"Jan",0.681680952380952,0.149301193758146,0.8824,0.2858,21.9019166131416,42
"242",623211.44,7959313.58,"Feb",0.726564285714286,0.144088945804791,0.9419,0.3355,19.8315481008176,42
"243",623211.44,7959313.58,"Mar",0.673220454545455,0.163823364292645,0.8857,0.1867,24.334282059694,44
"244",623211.44,7959313.58,"Apr",0.602316279069767,0.223254940680393,0.8435,0.1604,37.0660645309461,43
"245",623211.44,7959313.58,"May",0.585538636363636,0.187317098656957,0.8286,0.2296,31.990561685263,44
"246",623211.44,7959313.58,"Jun",0.484159090909091,0.180525209626751,0.8155,0.2113,37.286341001629,44
"247",623211.44,7959313.58,"Jul",0.353211363636364,0.130661985745769,0.662,0.168,36.9925770226032,44
"248",623211.44,7959313.58,"Aug",0.285219047619048,0.0914493548713599,0.6044,0.1593,32.0628498113156,42
"249",623211.44,7959313.58,"Sep",0.274204761904762,0.122077012782677,0.7362,0.1247,44.5203839403334,42
"250",623211.44,7959313.58,"Oct",0.329718518518519,0.148926688306792,0.7528,0.145,45.1678264769432,27
